,subject,condition,validity,cue side,cue-target interval,reaction time,response
453,03,100,valid,left,0.749827,324.502,correct
454,03,100,valid,left,0.616605,355.78900000000004,correct
455,03,100,valid,right,1.099979,457.494,correct
456,03,100,valid,right,1.433574,376.758,correct
457,03,100,valid,right,1.599783,417.794,correct
458,03,100,valid,right,1.016733,430.228,correct
459,03,100,valid,left,0.983299,374.711,correct
460,03,100,valid,left,1.383314,395.71099999999996,correct
461,03,100,valid,left,1.050263,463.96999999999997,correct
462,03,100,valid,right,1.450028,389.366,correct
463,03,100,valid,right,1.533197,433.534,correct
464,03,100,valid,left,1.066691,449.556,correct
465,03,100,valid,left,0.966612,521.107,correct
466,03,100,valid,right,0.833154,381.078,correct
467,03,100,valid,right,0.833177,321.34200000000004,correct
468,03,100,valid,left,1.133324,449.192,correct
469,03,100,valid,left,1.149965,352.528,incorrect
470,03,100,valid,right,1.283141,345.45599999999996,correct
471,03,100,valid,right,0.650044,578.191,correct
472,03,100,valid,left,1.516907,377.536,correct
473,03,100,valid,right,0.933288,412.923,correct
474,03,100,valid,left,0.766568,443.95,correct
475,03,100,valid,left,1.083557,467.829,correct
476,03,100,valid,left,0.916657,375.64300000000003,correct
477,03,100,valid,left,1.133537,414.735,correct
478,03,100,valid,left,0.600038,409.578,correct
479,03,100,valid,left,1.349932,499.556,correct
480,03,100,valid,left,1.450005,362.878,correct
481,03,100,valid,right,1.499802,429.444,correct
482,03,100,valid,right,0.549987,447.827,correct
483,03,100,valid,left,0.516547,453.14799999999997,correct
484,03,100,valid,right,0.516478,367.325,correct
485,03,100,valid,right,0.499923,389.099,correct
486,03,100,valid,right,1.149953,347.195,incorrect
487,03,100,valid,left,0.666722,453.887,correct
488,03,100,valid,left,0.86669,368.305,correct
489,03,100,valid,right,0.549892,416.00399999999996,correct
490,03,100,valid,right,1.466628,463.657,correct
491,03,100,valid,left,0.516457,426.251,correct
492,03,100,valid,left,1.483562,434.216,correct
493,03,100,valid,left,0.800042,459.793,correct
494,03,100,valid,left,1.066574,462.837,correct
